id,exclude,type,query,constraint,text,query_result,heading,format0,lat0,lng0,format1,lat1,lng1,format2,lat2,lng2,format3,lat3,lng3,format4,lat4,lng4,pitch
3365090839,0,,"Ritz-Carlton, Newbury Street",Boston,"North Facades, Newbury Street, Ritz-Carlton at right",1,341.9076191,"Newbury St, Boston, MA, USA",42.35252657,-71.0717,,,,,,,,,,,,,36.09206623
3365108127,0,,Newbury Street,Boston,"South Facades, Newbury Street, Brooks Brothers",1,154.9259853,"Newbury St, Boston, MA, USA",42.35210575,-71.07331604,,,,,,,,,,,,,15.93777667
3365108451,0,,Newbury Street,Boston,"South Facades, Newbury Street, Storefronts",1,162.1839875,,42.35224067,-71.07280091,,,,,,,,,,,,,0.019492451
3365109049,0,,Newbury Street,Boston,"South Facades, Newbury Street, Charles Summer Boutique",1,166.3572322,"Newbury St, Boston, MA, USA",42.3523605,-71.0723363,,,,,,,,,,,,,17.8369244
3365543190,0,frog,Boston Public Library Copley Square,Boston,"Frog's Eye View, Boston Public Library Copley Square, Right Corner of Building",1,240.1037265,"700 Boylston St, Boston, MA 02116, USA",42.34996995,-71.07728117,,,,,,,,,,,,,7.599884441
3365643592,0,50ft_interval,Dartmouth Street,Boston,"50 ft. Intervals, Dartmouth Street, S.S. Pierce Co. Grocers, Man at Car Door in Foreground, 10:30 to 11:00 A.M.",1,337.4213124,,42.34856255,-71.0766019,,,,,,,,,,,,,-1.349127919
3365644288,0,50ft_interval,"Dartmouth Street, Old South Church",Boston,"50 ft. Intervals, Dartmouth Street, Old South Church, Northeast Side, Boston Public Library in Background, 9:25 A.M.",1,187.4749143,"645 Boylston St, Boston, MA 02116, USA",42.35088806,-71.07775905,,,,,,,,,,,,,3.548280209
3365664462,0,frog,Boylston Street  and Exeter Street,Boston,"Frog's Eye View, Boylston Street 50 Ft. Intervals, Exeter to Dartmouth Street, Brick Residential Building with Stone at Base, 1:00 P.M. to 3:30 P.M.",1,3.72655245,"Exeter St & Boylston St, Boston, MA 02116, USA",42.3495757,-71.07930961,,,,,,,,,,,,,31.10257578
3365670404,0,50ft_interval,Dartmouth Street,Boston,"50 ft. Intervals, Dartmouth Street, Sidewalk view with Old South Church in Background, 9:55 A.M.",1,193.6646469,"Dartmouth St, Boston, MA 02116, USA",42.35126591,-71.07791336,,,,,,,,,,,,,3.925893677
3365671348,0,50ft_interval,Huntington Avenue,Boston,"50 ft. Intervals, Huntington Avenue, Facing Northeast, John Hancock Building in Background, Series on a Sunny Day, 1:00 P.M. to 2:30 P.M.",1,44.84470958,"Huntington Ave, Boston, MA, USA",42.34788511,-71.07882718,,,,,,,,,,,,,6.441279139
3365671510,0,50ft_interval,Huntington Avenue,Boston,"50 ft. Intervals, Huntington Avenue, Facing Northeast, John Hancock Building in Background, Series on a Sunny Day, 1:00 P.M. to 2:30 P.M.",1,44.84470958,"Huntington Ave, Boston, MA, USA",42.34797645,-71.07881144,,,,,,,,,,,,,6.441279139
3365671948,0,50ft_interval,Dartmouth Street,Boston,"50 ft. Intervals, Dartmouth Street, Facing South, Sidewalk view with Old South Church in Background",1,177.7640655,"Dartmouth St, Boston, MA 02116, USA",42.35104265,-71.0778057,,,,,,,,,,,,,12.67798387
3365688500,0,50ft_interval,"Huntington Avenue, Trinity Church",Boston,"50 ft. Intervals, Huntington Avenue, Facing Trinity Church and Copley Square, Series on a Sunny Day, 1:00 P.M. to 2:30 P.M.",1,52.94446534,"206 Clarendon St, Boston, MA 02116, USA",42.34913786,-71.07732273,,,,,,,,,,,,,8.599260785
3365688766,0,50ft_interval,"Huntington Avenue, Trinity Church",Boston,"50 ft. Intervals, Huntington Avenue, Facing Trinity Church and Copley Square, Nettle Equipment Co. at Left, Series on a Sunny Day, 1:00 P.M. to 2:30 P.M.",1,55.29634029,"206 Clarendon St, Boston, MA 02116, USA",42.3491425,-71.07709923,,,,,,,,,,,,,4.060913462
3365688878,0,50ft_interval,"Huntington Avenue, Trinity Church",Boston,"50 ft. Intervals, Huntington Avenue, Facing Trinity Church and Copley Square, Series on a Sunny Day, 1:00 P.M. to 2:30 P.M., Right Side of Street in Shadow",1,43.19329948,"206 Clarendon St, Boston, MA 02116, USA",42.3491425,-71.07709923,,,,,,,,,,,,,0.141347142
3365689012,0,50ft_interval,Corner of Huntington Avenue and Blagden Street,Boston,"50 ft. Intervals, Approaching Corner of Huntington Avenue and Blagden Street, Facing Trinity Church and Copley Square, Series on a Sunny Day, 1:00 P.M. to 2:30 P.M.",1,61.90186085,"Huntington Ave & Blagden St, Boston, MA 02116, USA",42.34913786,-71.07732273,"Blagden St & Huntington Ave, Boston, MA 02116, USA",42.349144,-71.0773257,,,,,,,,,,4.425180741
3365753508,0,frog,Boylston Street and Exeter Street,Boston,"Frog's Eye View, Boylston Street 50 Ft. Intervals, Exeter to Dartmouth Street, Harvard Studio Sign, 1:00 P.M. to 3:30 P.M.",1,334.5497079,"Exeter St & Boylston St, Boston, MA 02116, USA",42.34974959,-71.07862686,,,,,,,,,,,,,24.95083687
3365760346,0,50ft_interval,Corner of Huntington Avenue and Blagden Street,Boston,"50 ft. Intervals, Corner of Huntington Avenue and Blagden Street, in Shadow, Facing Trinity Church and Copley Square, Series on a Sunny Day, 1:00 P.M. to 2:30 P.M.",1,52.22970312,,42.34901436,-71.07723836,,,,,,,,,,,,,8.068466327
3365760772,0,50ft_interval,"Huntington Avenue, Trinity Church",Boston,"50 ft. Intervals, Huntington Avenue, Trinity Church, John Hancock Building on Right, Series on a Sunny Day",1,76.75470354,"206 Clarendon St, Boston, MA 02116, USA",42.34976897,-71.07718311,,,,,,,,,,,,,6.868623963
3365761050,0,50ft_interval,Corner of Huntington Avenue and Blagden Street,Boston,"50 ft. Intervals, Approaching Corner of Huntington Avenue and Blagden Street, Facing Trinity Church and Copley Square",1,58.27978055,"Huntington Ave & Blagden St, Boston, MA 02116, USA",42.34913786,-71.07732273,"Blagden St & Huntington Ave, Boston, MA 02116, USA",42.349144,-71.0773257,,,,,,,,,,10.73792517
